,username,comment
0,貓傻扁Cocat,"老實說我認為給出需要改良的地方這部分椅子做的很好
現在幾乎網路上試吃他們的店都是滿滿的好評"
1,stage,作為館長跟椅子的觀眾 還是希望椅子可以開箱便當 是不是真的當盤子敲呢
2,1,我覺得toyz很厲害的點是 對自己的感覺很尊重很公正 所以呢 可以面對很多評價跟實際有可能有落差的東西做出大膽的評論 也可以避免自己被不合理剝削 其實是一個很厲害的生存能力 也很具有可看點及個人特色
3,黃梓翔,說真的，椅子哥進行評比十分有理，優點缺點都說得很詳細，如果是真心為了自己的產品好，這些建議確實是值得參考的。
4,,"看到影片出現在我的首頁
差點嚇死啦
水牛城的部分確實如Toyz所說真的是台灣口味不是美式那種特酸特辣的感覺
其餘的部分我們會在討論改進"
5,阿霍,推薦toyz來個新系列 就是自己煮菜 煮出來的好看味道好 這個系列就會更有說服力
6,Ada YAO,今天椅子的笑，從頭到尾都是尷尬卻不失禮貌的笑怎麼我覺得好像每間看起來都好好吃
7,羽柔,椅子真的很適合當評測員耶
8,是洪彬耶,感覺這次有公道呀椅子，只要不是開箱素食餐廳，我都相信椅子還是懂吃的，素食還是交給平常天天只吃草的去評測比較公道，一般人根本接受不了那清淡
9,義楓,"覺得以後Toyz可以配氣泡水
這樣試每個味道都不會被影響"
10,k chen,其實看久了發現椅子如果再瘦一點下來的話，就是一個帥哥。五官非常端正。眼睛也很大，口條很清晰呢
11,Tina Wang,"Toyz的評價很公道~不愧為公道伯之名,以後館長便當開賣一定要買來評價看看!!不要讓人被薛"
12,劉永德,"氣氛又被椅子炒起來
看來又是一波搶購潮"
13,花雨飛,支持Toyz，雖然常得罪人，但也說出了很多人的心聲，捨椅子其誰？
14,吳克桁,就像Toyz說的 吃是主觀的每個人的口味都不同 不服就自己去買來試試！！！ 
15,Liam Li,唯一支持toyz，把台灣人不敢說的都說出來
16,何奕德,想請toyz去吃吃看濱江市場的炸雞，佩慈的炸雞，個人覺得蠻好吃的。
17,左三圈右三圈,期待能評比牢裡伙食優劣，哪邊需要改進!我相信公道伯應該不會為了要假釋而做出偏頗的評價! 因為TOYZ最公道了!
18,郑富元,TOYZ 你說話很真材實料。 不怕得罪人。 我喜歡你說話。 不然都會說假話明明不好吃因為是朋友開的店要說好吃
19,張瀞云,很少看到椅子這麼溫柔
20,阿修羅漢,"網紅、實況主, 我主要看TOYZ與館長、史丹利  ,  真心希望他們能和好, 和氣生財、和則萬事興"
21,青旺農產,能認同椅子評論皮的部份，平常吃的炸雞無論台式美式都跟影片一樣是脆皮的，直到去吃了椅子推薦的BBQ韓式炸雞的皮才知道什麼是薄脆
22,Che lai,我們家是買雞肉生鮮食品產業的我必須說 Toyz吃的也些很柴或很乾的肉質大部分都是採用進口雞肉（成本較低）因為退冰過所以水分流失肉也相對沒那麼軟嫩也會比較柴 我自己吃過週末炸雞 吃的出來他們的肉都是用本土生鮮雞肉非常新鮮而且醃料也很有特色 也較新鮮 但是就是貴了一點但是以現在本土雞肉的價格跟成本我認為還算合理的範圍內
23,ran Ternence,椅子你應該去試試看KLG台北松山店 薯條跟炸雞絕對不會讓你失望 價格實在東西超讚
24,Gamer weng,"11 : 59 到底椅子是求生慾才給9分還是真的好吃給9分
讓我們拭目以待"
25,gk fuh,TOYZ喊在~泥在直播中突然被消失真的很擔心泥~~~!!
26,李鋼,"椅子來宜蘭評過許多店家 個人覺得非常公道實在 所以挺重視他給的建議

椅子在阿晉的店評價時，看到品子出來亂的時候 
說真的有點不喜歡這樣，別用關係來影響 toyz評價啊啊啊～"
27,ka bila pxi,椅子的評價真的中肯，沒在灌水的
28,阿嬤壓車撿十塊,"很顯然，toyz就是喜歡吃腿的，雞胸這個部位本來就會柴。
有人說吃雞可以看出人的個性，有人喜歡吃雞翅因為風味最多，有人喜歡雞腿因為汁多，有人喜歡吃胸因為胸的肉最大塊可以吃的爽，完全就是很主觀的事情。簡單來說上面的三家都是可以去吃的炸雞店。"
29,Blumen Han,怎麼感覺比起艾莉莎莎，椅子比較適合開課，每次都是流量保證w
30,yb wang,TOYZ能說一下為什麼要讓員工假冒阿館的助理去查資料嗎想聽你說 還是你真的用這種招數來打這一場仗
31,Zheng 不說斯裂 o,椅子 踢館專家
32,葛冠全,這不是我認識的椅子怎麼怕了
33,施麗雯,toyz肯定吃了無敵星星持久版
34,Mr.N music,"卡一個想看椅子評測全台最頂「館長便當」,,,"
35,林素君,期待椅子出90元便當，打臉館長
36,姆噠MUDA,出現了 椅子這輩子可能都打不贏的女人
37,Chiu Andy,椅子再怎麼出包 一小時近5萬的觀看實在又噁又猛
38,Acho,8:12 我怎感覺有點雞蛋裡挑骨頭 哈哈  最後總結是 椅子不喜歡吃胸 胸不是 1 就是 0 不然就-10 笑死
39,微氣泡,椅子 陳三斤約戰了啦 你接嗎？
40,許宏瑋,椅子可以吃吃看爆Q 很推
41,小萬,椅子哥是指標，比爺爺好
42,Booker Kuo,不可能贏過高雄德州小騎士炸雞 toyz可以去吃看看
43,pow,就是要像椅子一樣夠敢講的 網路上YT每個都馬說好吃 都不敢得罪啊
44,陳彥圻,椅子是不是比較想進去oh mama旁邊的那間…
45,王昌,"小劉怎麼吃東西時眼皮都會掉下來呢 嗯？
更好吃了對嗎"
46,咻蹦閃,"有一說一  
雖然椅子人品道德確實有點問題
但是是市面上唯一敢說東西不好吃的
例如九妹不管吃什麼永遠都只說還不錯"
47,Wei,椅子 台中可以吃附近河南路的6星炸雞
48,JUN FUNG,推薦Toyz板橋有一家“御品炸雞粉圓”可以試試
49,bo bo,胡〈麻〉醬一定是toyz的最愛
50,黃義翔,詐欺美食公道伯亂評一通週末炸雞應該很好吃
51,YanXi Liu,"阿晉的店 賤葆肯定有投資阿  留言區到底在堅持什麼啦...
TOYZ飲料店佔股也不是最大阿  大家還不是說是他開的XD"
52,丁鎮民,我是覺得有有善心不錯我也是壞人啊我盡量講為人，一堆人亂說講真的這個是基本的吧，依我的江湖經驗toyz算蠻高手的直播主了
53,驕傲嬌,注意看那個女人實在是太狠了，把木曜運動會所學再次拿出來瞄準椅子
54,R焦,各位知道椅子屌在那裡嗎?  雖然歐罵罵影片中被評價一般般 但看完卻會很想去吃 看起來也很好吃 該介紹的元素都看到了  牛逼
55,金剛,下次  可以試試看蘇阿姨  一樣在光復南路上  我超愛的  不知道toyz吃過了嗎  他是台式炸雞
56,小白,"椅子是用來坐的
公正?"
57,Yu Jona,這是阿晉開的 我猜測椅子要用這種標題來騙點閱跟留言數 我先卡個位
58,嘿嘿嘿,我這個人很簡單~有TOYZ就給讚!!!
59,yagi you,椅子什麼時候來台南的啊
60,HongMing Zhang,11:05半金藍的手錶...拖椅子也是戴浪琴的半金藍浪鬼嗎? 還是半金藍勞鬼???
61,飯粒,看一看都覺得TOYZ是壓根不喜歡吃雞胸XD
62,點茶,"真的要測別人不能知道是TOYZ去買的吧，
知道別人是TOYZ要開箱要評測的或多或少都會和平常有差吧。"
63,Philips Trevor,"椅子 B.C大哪裡有翻譯一個影片 
有關於 一個即將倒閉的店
經由影片介紹講評
起死回生"
64,豬豬,誰都別想嘴不懂吃的toyz
65,Emily Ku,怎麼辦？我好擔心TOYZ….
