username,comment
@78FUGG,toyz不只證明網紅能帶貨，還能帶動爺爺的血壓，太神啦椅子
@Clara-ur6ix,TOYZ現在要做這個 就要更加多多注意自己的形象了  因為你是品牌的最佳代言人 加油!
@tse670,"曾任職連鎖品牌店長
Toyz真的屌 揭秘連鎖體系的黑幕
我真心覺得他敢公開就表示不怕人家加盟，價格公開透明
我也是受不了我們公司變成賣貨型總部，加盟主每個都以為有錢丟進去就能賺錢，殊不知開了公司根本不管你死活，倒了就算了，記得不要跑料就好"
@Oscar-kv6qm,其實開店做生意，最困難的就是一開始沒知名度，人家要靠加盟才有曝光，這些都要轉化為成本，而 Toyz 不用，本身自帶流量，這樣也不能說別人貴不厚道，因為你的飲料店是超過十年你所累積的名氣來的。
@renandre7658,Toyz出事前，我沒在看，從出事之後到現在我反而一直看，Toyz真的是直播鬼才…流量密碼…
@林禹丞-y3x,果然我們的椅子特別懂葉子
@可哄抬,"椅子之所以能價格壓這麼低的情況，其實坦白說就是他所說的「疊價」的部份，還有網紅本身「行銷」的隱含成本，但今天身為一個新成立的品牌，再沒有網紅的行銷能力為前提下，那也只能提高品項價格啊⋯⋯
另外關於茶葉價格的部分 基本上 我們加盟店拿到的價格
烏龍400元一台斤 紅茶330元其他的基本上也差不多300多一台斤
個人是很希望椅子可以藉由這件事，讓大家知道飲料的價格是可以拉低的，但也希望其他人知道，真正賺錢的不是加盟店甚至工廠，是所謂的「品牌方」，也希望椅子可以好好兼顧品質。
不過我倒是很好奇 椅子所用的牛奶是什麼等級的
By 一個被壓榨的飲料店副店。"
@吾欲擊汝肺,Toyz 已經把開手搖店賺錢包裝成手搖市場革命，果然有料的人是打不死
@brian72032,整部片無意間就看完了 只能說Toyz實力真的強懂得創造話題 口條講話節奏又都超強 真的很厲害實力真的不差
@OxO_1225,Toyz加油支持你!!
@MidnightPops,"個人有一些隱憂見解
像是違建、便宜、開放加盟、開店選址
違規的部分能改善還好說，但是做生意的經驗
究竟是揭露別人噱價還是會做到賠錢的生意菜鳥，就是替椅子擔心的地方
新手在swot上很容易會把攻擊其他同行當成策略，但做久了知道生意和業界狀況，通常還是會轉向強調自己的優點為主
沒有當過老闆每個月親自要繳好幾十萬以上，只是個上班和學生仔外行仔是很難看到真正壓力的地方
期待以後的發展"
@derekwu4762,TOYZ感覺是現在台灣行銷最強的人，說話讓人意猶未盡忍不住一直聽下去。
@林家豪-j8i,"茶葉雖然拿比較好，怕的就是有些人跳出來說還不是比某某品牌還難喝，所以還是要先扛的住壓力！
加油椅子"
@Shinnosuk,Toyz真男人
@柯建宇-o7k,"先說不賺原物料這塊，因為椅子沒有""總部營運成本"" (原料運送 定期廣告行銷 行政會計 現場督導  總部房租 等..)，大品牌有總部營運成本，是一定需要靠原物料獲利來賺錢養總部。
再來加盟金，一個新的飲料品牌，除了有形的店面成本外，要再另花大筆的行銷費去曝光的，那一開始做品牌的這些行銷費，會透過""加盟金""這塊去賺回來。
椅子是用自己的人氣，去曝光這間拾玖茶屋，才可以省下這塊成本。 如果今天是一個默默無名的素人開的，不打行銷用這個價錢去賣，開的點還在巷子裡，最後應該是白忙一場。"
@靳閔傑,不管好不好喝    椅子開店必須支持!!
@邱-z3o,"我都懷疑館長是不是跟toyz私底下有合作，每次時間點都剛剛好！館長幫忙推一波就發片，把曝光衝到最頂最滿。
表面上的罵其實是深深愛著他"
@seakiven1490,toyz應該要開始考慮，敵人們的聯合攻擊，接下來長時間生存才是最重要方向
@GYC_0112,建議椅子還是要算好成本控管，手搖店大部份都是被店租人事成本打敗的，不過大叔我經過一定都會來一杯的！！！
@Trance88178,TOYZ加油 一切盡在不言中
@建宏-m5g,希望藉由椅子的19茶屋能讓市場價格合理化，萬物皆漲的時代還能用合理的價格買到品質不錯的飲料，看完結論是其他縣市拜託也連鎖一下啦~
@史迪奇硬幫幫家族,謝謝Toyz的蜜香粉粿凍飲，好喝
@司馬懿仲達-jd,我是南投名間人，感謝Toyz原物料願意跑那麼遠的地方採購，如果中部這邊有開加盟店的話，一定會買來喝！
@shanachen4760,"我自己之前是開自創飲料店的，就算不是加盟沒被疊價，但拿到的貨也是跟被疊價的差不多。
人力也是個問題，六個人一直在忙當然有賺，但一般不管加盟還是自創的飲料店，根本無法準確預測何時客人會來，勢必一定會浪費人力成本，況且還有機器損耗、房租、水電、食物損耗、新人訓練、稅務、行銷廣告、外送抽成等等的問題。
撇除一些真的貴的離譜的，一般飲料店真的是現在的價格才可生存，根本沒大賺，頂多有賺一滴而已。
真心覺得總店會不會賺不知道，但去加盟的鐵定做白工。感覺現在只是換種方式薛加盟金。
之前賣的價格跟toyz差不多，某幾個品項貴5元。"
@adogd3752,toyz的影片配飯吃真美味
@reesenatalie3605,"我分享自己的感受~~~
我喝過中南部特大杯1000cc 紅茶只賣20元，也喝過一杯60元的紅茶，價格不代表好喝與否，只在於合不合你個人的口味，若60元的紅茶覺得好喝，那對你來說他是成功的，而Toyz紅茶，我覺得是成功的，因為我覺得好喝~ (有些紅茶茶葉帶有特殊風味，像是果香/咖啡香/麥仔香/日式紅茶等，就看個人接受度與否囉 )"
@Eric-demonic_saint,期待椅子在高雄有規劃開店，我目前還不知道有沒有
@zba678,"整個模式跟理念還有想法，是好的方向
但是有幾個疑問點
1.該品牌目前只有一間店，如果加盟店多了會不會瓜分自己的客群？
2.是不是應該自營店超過5-10家以後，才來開放加盟，而且目前剛開而已，時間久了大多數的人還願意消費嗎？
（不然就很容易變成廖老大模式）
3.背後的團隊專業度是不是很強大，椅子本身自帶行銷這點不需要外，團隊對於協助加盟方找點的評估作業（租金，客群，消費力）
假設一個店面租金6萬，每日上班人數3人，輪流排休大概需要5名正職員工
薪水3.5萬×5=17.5萬+6萬租金=23.5萬
23.5萬÷30天=一天成本7833+營登+水費+電費+設備維護保養一天成本大約1萬
如果一杯賺30元一天要賣超過333杯之後才開始賺錢平均每人帶走2-3杯，當天來客量至少要100-150位
當然這些可能還不包括每個月有沒有需要給加盟金
（人事成本以不請pt情況下去計算）
4.完整的sop流程，各種茶葉泡製後的效期時間，保存的方式，水的溫度，原物料如果缺貨後續可替代的方案"
@kung3513,"toyz代言的飲料.確實直接去仲介化才能拿到相對應的價格!!! 我家裡有種芒果,toyz有機會跟你合作嗎?一起來去仲介化"
@tonight194,"我帶老婆下午四點半排隊到7點半任務完成與Toyz合照拿到簽名就心滿意足啦
飲料我喝“甘蔗青茶”，老婆喝：“綠茶凍梅露”，我們都給十分滿分評價～好喝
Toyz：你辛苦了。祝您們業績長虹，財源滾滾啊"
@洪瑞呈-ee,信義區這邊的陳零久開的久茶真的就超難喝而且又很貴，完全就是典型名人飲料店，希望椅子分店開天遍
@sdkk100,現在大品牌的手搖飲料價格真的高到離譜，台灣人的消費習慣像是溫水煮青蛙一般，讓人慢慢身陷而不自覺，很高興有toyz的茶屋出來，讓買不下去貴森森飲料的民眾，有另一個價格實在又能兼顧品質的選擇
@burnout.c,"椅子一直很有企劃頭腦
認真做事起來果然相當厲害"
@duck-kq8ix,這營運模式對品牌跟消費者都是好事穩賺不賠 但對加盟者來說有店租、原物料上漲、toyz入獄後的行銷等不確定因素
@小鈺西瓜-q9z,"TOYZ  
 為您推薦下檔新品
🫶🫶🫶🫶🫶🫶🫶

 巨波香菱綠  69元
 想吸

（珍珠檸檬綠）"
@winage2010,其實對市場衝擊不大，因為店太少激不起多少浪花。但還是給椅子一個讚，羨慕台北的朋友。
