username,comment
@denny356966,第一害 張嘉航 （統神） 代表豬 ，第二害 黃伯超（超哥） 代表鴿 ，第三害 劉偉健 (Toyz) 代表蛇。把前兩害的名聲搞臭 再把自己送去監獄， 這劇情真還原
@爽文小說男主,"2028年toyz出獄簽到處
｜"
@Jimmys_,我叫劉偉健，我有名有姓，以後不要再叫什麼拖椅子了
@24leo64,好想看toyz分析心靈課程
@雞米花-k8p,不愧是椅子哥，進去了還能再次煽動大家的感情
@muggle_02,人真的不要做 會讓自己回不去的錯== TOYZ 我很喜歡妳的直播，謝謝妳讓我在工作後都可以笑得很開心，希望你以後可以繼續保持善意，不會再有脫序的行為了，在裡面要保重。出來後再好好直播，跟你愛的人結婚
@S.HKTung,"單單片中人就可以看到影片份量及誠意，身為香港人我留言目的是想表達在香港仍然有人喜歡看你直播，給你一點力量，明白這次教訓對你的內心影響很大及明顯不捨，不過最少你己經負了你應該要負的責任，人誰無過呢，期待往後在YT可以再見到你本人出來直播，到時你己經是新造的人，加油TOYZ，辛苦了小七，蹦闆
see you soon  again"
@daniellia9143,"乾這個哭真的欸…哭得我都心痛了..
連阮經天都沒能打動我，我想可能是椅子哥每週這樣更新狀況，跟大家聊成一片，帶入感超重，現在這些眼淚，都代表著每個喜歡你的粉絲們，流下來留下來 等你回來！"
@連小弟,感覺真的哭  看到旁邊的人都感傷....加油TOYZ  身為台灣人我也痛恨毒品 .身為有影響力的人.都要知道以身作則.也謝謝你為很多人歡樂貢獻...  希望你能平安
@JakesTVJ,等椅子出來 變成更好的椅子
@莊秉閎-h4d,是是非非，已為此付出代價，在社會上不知道還有多少人更為骯臟而不為人知，還在死命追著他來指責的人，希望你們也沒犯錯，也希望椅子能改過自新
@lee8838520,我合理懷疑椅子進去前已經拍好接下來四年要放上來的所有影片了
@李雪-t8l,"唉，真是不知道說甚麼才好，第一次知道哭笑不得是什麼感覺，一邊哭一邊笑看完了，都不知道原來臉上的表情還可以這麼扭曲，我願意相信就算有做效果的成份，他還是有一點點的真心的

唉，遺憾沒早點認識你，加油吧，希望可以撐下去以前其實不太喜歡他，但後來慢慢開始看他的影片，才發現自己以前錯過了好多，沒有看過他的影片就憑印象討厭他，只能說他帶給我太多太多快樂了，而且他邏輯真的很好，也改變了我一些

當然他做了錯事就是錯了，其實我們都知道的，但他的閃光點也不應該因此被否認的，其實還是挺傳奇的一個人

本來以為自己一直都是抱着看笑話的心態在看toyz，沒想到漸漸也有了些真心，也真的開始會擔心他，會希望他過得更好，希望toyz平安度過這段日子，未來幸福快樂

到現在心情還未能平復，昨天還是不太能接受這件事，整個人都很沒精打采，超級低氣壓，不知道什麼時候才能好一點，也不知道到底我是因為以後沒有直播看，還是因為擔心toyz而不開心，或許都有吧，就像他做效果的同時，也許也有一些真心吧"
@里維·阿卡曼-v1x,加油！椅子哥！四年等你出來！
@海海海海矮海豹,椅子哥 珍重再見 從小看你的影片長大的 希望你在裡面一切安好
@沉富思維,椅子在一次用實力證明即使人身處監獄依然能攻佔發燒榜1  流量鬼才珍重再見!!
@szx_1222,會把時事梗開在自己身上的 不愧是toyz🫡值得致敬
@juijuic9141,"佩服椅子與幕後的引流，觀後感想是阮經天不愧是影帝，畫面衝擊力與細節強太多了。
可惜是這支影片收音不好，也沒辦法重拍了。挺可惜的還有很多細節可以抓，濾鏡和色調倒是有像。^^"
